Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20250929235400,1,0,0,1,9,0.0,78.5,0.8,0.0
20250929235430,1,0,0,1,9,0.2,70.5,1.5,0.0
20250929235800,1,0,0,1,9,0.2,75.5,1.0,0.0
20250929235830,1,0,0,1,9,0.8,72.2,1.5,0.0
20250929235900,1,0,0,1,9,0.0,71.2,0.5,0.0
20250929235930,1,0,0,1,9,0.5,71.0,1.3,0.0
20250930000100,1,0,0,1,9,0.0,70.0,0.3,0.0
20250930000130,1,0,0,1,9,0.2,71.5,1.0,0.0
20250930000200,1,0,0,1,9,0.8,73.8,2.2,0.0
20250930000230,1,0,0,1,9,0.2,71.2,1.2,0.0
20250930000400,1,0,0,1,9,0.5,67.7,1.0,0.0
20250930000430,1,0,0,1,9,1.0,73.0,2.2,0.0
20250930000800,1,0,0,1,9,0.3,72.0,1.0,0.0
20250930000830,1,0,0,1,9,0.7,70.8,1.7,0.0
20250930001200,1,0,0,1,9,0.3,73.2,1.5,0.0
20250930001230,1,0,0,1,9,0.0,68.2,0.5,0.0
20250930001400,1,0,0,1,9,0.0,73.5,0.3,0.0
20250930001430,1,0,0,1,9,0.7,76.5,1.7,0.0
20250930001500,1,0,0,1,9,0.0,76.3,1.2,0.0
20250930001530,1,0,0,1,9,0.3,69.7,1.2,0.0
20250930001800,1,0,0,1,9,0.7,73.5,2.3,0.0
20250930001830,1,0,0,1,9,0.3,72.3,1.0,0.0
20250930002000,1,0,0,1,9,0.0,74.3,0.5,0.0
20250930002030,1,0,0,1,9,0.7,69.8,0.7,0.0
20250930002300,1,0,0,1,9,0.2,67.5,0.5,0.0
20250930002330,1,0,0,1,9,0.0,76.3,1.0,0.0
20250930002400,1,0,0,1,9,0.5,73.3,1.7,0.0
20250930002430,1,0,0,1,9,1.0,66.3,1.0,0.0
20250930002500,1,0,0,1,9,0.2,84.5,1.5,0.0
20250930002530,1,0,0,1,9,0.7,74.5,1.7,0.0
20250930002600,1,0,0,1,9,0.0,70.7,0.5,0.0
20250930002630,1,0,0,1,9,0.3,67.2,0.5,0.0
20250930002800,1,0,0,1,9,0.3,68.5,0.7,0.0
