Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,4.3,82.3,3.3,0.0
20260419172130,0,0,1,0,4,7.0,92.0,4.7,0.0
20260419172600,0,0,1,0,4,13.3,90.7,8.3,0.0
20260419172630,0,0,1,0,4,9.7,92.0,5.7,0.0
20260419173000,0,0,1,0,4,9.3,78.7,6.0,0.0
20260419173030,0,0,1,0,4,5.0,98.3,3.0,0.0
20260419173600,0,0,1,0,4,7.7,92.0,5.3,0.0
20260419173630,0,0,1,0,4,6.3,81.7,4.0,0.0
20260419174100,0,0,1,0,4,7.3,92.0,5.3,0.0
20260419174130,0,0,1,0,4,10.7,88.7,6.0,0.0
20260419174600,0,0,1,0,4,9.7,84.3,7.0,0.0
20260419174630,0,0,1,0,4,5.7,93.0,4.0,0.0
20260419175200,0,0,1,0,4,8.3,82.0,5.3,0.0
20260419175230,0,0,1,0,4,9.3,89.7,6.0,0.0
20260419175600,0,0,1,0,4,8.3,91.7,5.3,0.0
20260419175630,0,0,1,0,4,5.3,91.3,3.0,0.0
20260419180200,0,0,1,0,4,7.3,90.3,5.0,0.0
20260419180230,0,0,1,0,4,12.7,86.7,7.7,0.0
20260419180600,0,0,1,0,4,12.3,80.0,6.7,0.0
20260419180630,0,0,1,0,4,7.7,92.0,5.0,0.0
20260419181200,0,0,1,0,4,3.7,95.0,3.3,0.0
20260419181230,0,0,1,0,4,8.0,90.3,5.0,0.0
20260419181500,0,0,1,0,4,7.3,91.3,4.3,0.0
20260419181530,0,0,1,0,4,9.7,86.7,5.7,0.0
20260419182100,0,0,1,0,4,8.7,86.7,4.3,0.0
20260419182130,0,0,1,0,4,7.3,89.0,4.3,0.0
20260419182600,0,0,1,0,4,6.3,93.0,3.7,0.0
20260419182630,0,0,1,0,4,10.3,86.0,6.7,0.0
20260419183000,0,0,1,0,4,6.7,89.0,5.3,0.0
20260419183030,0,0,1,0,4,8.7,95.7,4.7,0.0
20260419183500,0,0,1,0,4,4.7,88.7,3.0,0.0
20260419183530,0,0,1,0,4,6.3,77.0,4.0,0.0
20260419184200,0,0,1,0,4,5.7,96.7,5.0,0.0
20260419184230,0,0,1,0,4,10.3,86.7,5.7,0.0
20260419184600,0,0,1,0,4,6.3,95.0,3.7,0.0
20260419184630,0,0,1,0,4,6.7,96.0,4.7,0.0
20260419184900,0,0,1,0,4,7.0,83.7,4.3,0.0
20260419184930,0,0,1,0,4,5.3,88.3,4.3,0.0
