Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,3.7,93.3,7.3,0.0
20260419172130,0,0,1,0,4,7.0,86.7,11.0,0.0
20260419172600,0,0,1,0,4,6.3,91.3,12.3,0.0
20260419172630,0,0,1,0,4,6.7,87.7,12.0,0.0
20260419173000,0,0,1,0,4,3.0,90.7,7.3,0.0
20260419173030,0,0,1,0,4,3.3,92.3,6.7,0.0
20260419173600,0,0,1,0,4,6.0,86.7,8.7,0.0
20260419173630,0,0,1,0,4,4.3,90.7,7.7,0.0
20260419174100,0,0,1,0,4,5.3,85.0,9.0,0.0
20260419174130,0,0,1,0,4,5.3,85.0,7.7,0.0
20260419174600,0,0,1,0,4,4.3,86.3,6.3,0.0
20260419174630,0,0,1,0,4,6.3,92.0,11.3,0.0
20260419175200,0,0,1,0,4,7.0,83.3,12.3,0.0
20260419175230,0,0,1,0,4,6.0,90.7,9.7,0.0
20260419175600,0,0,1,0,4,5.3,86.0,10.7,0.0
20260419175630,0,0,1,0,4,6.3,82.3,10.0,0.0
20260419180200,0,0,1,0,4,5.3,87.7,8.3,0.0
20260419180230,0,0,1,0,4,5.3,84.0,10.7,0.0
20260419180600,0,0,1,0,4,7.0,84.7,12.0,0.0
20260419180630,0,0,1,0,4,5.0,92.0,8.7,0.0
20260419181200,0,0,1,0,4,6.3,83.3,11.3,0.0
20260419181230,0,0,1,0,4,8.3,80.7,12.7,0.0
20260419181500,0,0,1,0,4,5.0,82.0,9.0,0.0
20260419181530,0,0,1,0,4,4.3,87.7,8.0,0.0
20260419182100,0,0,1,0,4,7.0,85.7,9.3,0.0
20260419182130,0,0,1,0,4,5.0,86.3,9.7,0.0
20260419182600,0,0,1,0,4,7.3,84.0,9.0,0.0
20260419182630,0,0,1,0,4,8.3,80.0,13.0,0.0
20260419183000,0,0,1,0,4,4.0,92.3,8.0,0.0
20260419183030,0,0,1,0,4,2.7,93.3,6.3,0.0
20260419183500,0,0,1,0,4,5.3,80.3,8.3,0.0
20260419183530,0,0,1,0,4,6.0,77.0,9.0,0.0
20260419184200,0,0,1,0,4,5.3,86.7,9.3,0.0
20260419184230,0,0,1,0,4,5.3,78.0,9.7,0.0
20260419184600,0,0,1,0,4,8.7,78.0,11.7,0.0
20260419184630,0,0,1,0,4,5.0,80.3,10.0,0.0
20260419184900,0,0,1,0,4,6.7,80.0,10.3,0.0
20260419184930,0,0,1,0,4,5.0,84.7,10.7,0.0
