Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,3.0,71.0,3.5,0.0
20260419172130,0,0,1,0,4,3.5,71.0,4.0,0.0
20260419172600,0,0,1,0,4,3.0,72.5,5.5,0.0
20260419172630,0,0,1,0,4,4.5,75.0,6.0,0.0
20260419173000,0,0,1,0,4,5.0,73.5,8.0,0.0
20260419173030,0,0,1,0,4,5.0,71.5,7.5,0.0
20260419173600,0,0,1,0,4,3.5,76.5,4.0,0.0
20260419173630,0,0,1,0,4,4.5,72.5,5.0,0.0
20260419174100,0,0,1,0,4,2.0,73.0,3.5,0.0
20260419174130,0,0,1,0,4,4.0,75.0,6.0,0.0
20260419174600,0,0,1,0,4,3.5,67.0,5.0,0.0
20260419174630,0,0,1,0,4,3.5,63.5,4.0,0.0
20260419175200,0,0,1,0,4,5.0,70.5,3.0,0.0
20260419175230,0,0,1,0,4,5.5,72.5,5.5,0.0
20260419175600,0,0,1,0,4,2.5,72.5,4.5,0.0
20260419175630,0,0,1,0,4,7.0,68.5,7.5,0.0
20260419180200,0,0,1,0,4,5.0,69.0,3.5,0.0
20260419180230,0,0,1,0,4,2.5,69.5,4.0,0.0
20260419180600,0,0,1,0,4,3.5,77.0,6.0,0.0
20260419180630,0,0,1,0,4,0.0,80.0,0.5,0.0
20260419181200,0,0,1,0,4,4.5,74.5,5.5,0.0
20260419181230,0,0,1,0,4,5.0,72.5,6.5,0.0
20260419181500,0,0,1,0,4,2.5,77.5,5.0,0.0
20260419181530,0,0,1,0,4,4.0,75.0,5.0,0.0
20260419182100,0,0,1,0,4,7.0,67.5,6.5,0.0
20260419182130,0,0,1,0,4,3.5,73.0,4.5,0.0
20260419182600,0,0,1,0,4,1.5,77.0,3.0,0.0
20260419182630,0,0,1,0,4,2.0,83.0,4.0,0.0
20260419183000,0,0,1,0,4,4.0,74.0,6.0,0.0
20260419183030,0,0,1,0,4,3.5,79.0,3.5,0.0
20260419183500,0,0,1,0,4,2.5,76.5,5.0,0.0
20260419183530,0,0,1,0,4,6.5,68.5,5.0,0.0
20260419184200,0,0,1,0,4,0.5,74.0,1.5,0.0
20260419184230,0,0,1,0,4,2.5,71.5,4.0,0.0
20260419184600,0,0,1,0,4,4.0,69.0,6.0,0.0
20260419184630,0,0,1,0,4,3.0,68.5,2.5,0.0
20260419184900,0,0,1,0,4,11.5,63.5,5.5,0.0
20260419184930,0,0,1,0,4,4.5,60.5,5.5,0.0
