Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,7.0,81.7,5.7,0.0
20260419172130,0,0,1,0,4,7.0,75.3,5.3,0.0
20260419172600,0,0,1,0,4,9.7,69.7,8.3,0.0
20260419172630,0,0,1,0,4,8.7,77.7,8.3,0.0
20260419173000,0,0,1,0,4,7.0,76.7,5.7,0.0
20260419173030,0,0,1,0,4,14.0,70.7,7.7,0.0
20260419173600,0,0,1,0,4,9.3,70.7,7.7,0.0
20260419173630,0,0,1,0,4,4.0,81.0,4.3,0.0
20260419174100,0,0,1,0,4,12.0,70.3,9.3,0.0
20260419174130,0,0,1,0,4,11.0,71.3,8.0,0.0
20260419174600,0,0,1,0,4,9.7,77.3,8.3,0.0
20260419174630,0,0,1,0,4,5.0,80.7,4.3,0.0
20260419175200,0,0,1,0,4,4.0,70.7,4.0,0.0
20260419175230,0,0,1,0,4,4.3,78.3,3.3,0.0
20260419175600,0,0,1,0,4,4.7,74.0,4.7,0.0
20260419175630,0,0,1,0,4,11.0,74.7,7.0,0.0
20260419180200,0,0,1,0,4,13.7,77.0,10.3,0.0
20260419180230,0,0,1,0,4,10.7,72.0,9.3,0.0
20260419180600,0,0,1,0,4,7.7,70.7,7.7,0.0
20260419180630,0,0,1,0,4,9.3,74.0,7.0,0.0
20260419181200,0,0,1,0,4,5.0,77.7,5.0,0.0
20260419181230,0,0,1,0,4,9.0,73.0,6.7,0.0
20260419181500,0,0,1,0,4,9.3,75.0,7.7,0.01
20260419181530,0,0,1,0,4,9.0,78.3,8.0,0.01
20260419182100,0,0,1,0,4,13.3,71.3,10.7,0.01
20260419182130,0,0,1,0,4,6.3,75.7,6.0,0.01
20260419182600,0,0,1,0,4,6.7,76.7,7.3,0.01
20260419182630,0,0,1,0,4,4.3,71.3,3.7,0.01
20260419183000,0,0,1,0,4,10.7,76.0,8.0,0.0
20260419183030,0,0,1,0,4,5.3,79.0,5.3,0.0
20260419183500,0,0,1,0,4,5.3,91.7,4.0,0.0
20260419183530,0,0,1,0,4,7.0,74.0,5.3,0.0
20260419184200,0,0,1,0,4,9.0,72.7,7.7,0.0
20260419184230,0,0,1,0,4,3.7,82.0,4.3,0.0
20260419184600,0,0,1,0,4,2.7,66.7,3.7,0.0
20260419184630,0,0,1,0,4,10.3,77.0,8.0,0.0
20260419184900,0,0,1,0,4,9.7,73.7,7.3,0.0
20260419184930,0,0,1,0,4,5.0,76.0,5.0,0.0
