Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,3.0,79.7,4.7,0.0
20260419172130,0,0,1,0,4,5.7,72.3,8.7,0.0
20260419172600,0,0,1,0,4,5.0,75.7,7.3,0.0
20260419172630,0,0,1,0,4,3.7,81.3,8.0,0.0
20260419173000,0,0,1,0,4,3.3,72.3,5.0,0.0
20260419173030,0,0,1,0,4,5.3,73.0,8.0,0.0
20260419173600,0,0,1,0,4,4.3,83.3,6.3,0.0
20260419173630,0,0,1,0,4,7.3,71.3,11.0,0.0
20260419174100,0,0,1,0,4,6.0,72.7,8.7,0.0
20260419174130,0,0,1,0,4,6.0,70.7,10.0,0.0
20260419174600,0,0,1,0,4,6.0,73.0,10.3,0.0
20260419174630,0,0,1,0,4,2.3,76.0,4.7,0.0
20260419175200,0,0,1,0,4,2.3,79.0,4.7,0.0
20260419175230,0,0,1,0,4,4.0,76.0,6.3,0.0
20260419175600,0,0,1,0,4,3.0,78.7,5.3,0.0
20260419175630,0,0,1,0,4,3.7,73.3,6.0,0.0
20260419180200,0,0,1,0,4,3.3,73.7,4.3,0.0
20260419180230,0,0,1,0,4,6.0,68.7,9.0,0.0
20260419180600,0,0,1,0,4,3.7,79.3,7.7,0.0
20260419180630,0,0,1,0,4,6.7,71.0,8.3,0.0
20260419181200,0,0,1,0,4,5.3,69.3,8.7,0.0
20260419181230,0,0,1,0,4,4.7,76.0,9.0,0.0
20260419181500,0,0,1,0,4,4.0,78.3,6.3,0.0
20260419181530,0,0,1,0,4,3.0,74.3,5.7,0.0
20260419182100,0,0,1,0,4,3.3,75.0,6.7,0.0
20260419182130,0,0,1,0,4,5.3,74.0,8.0,0.0
20260419182600,0,0,1,0,4,4.0,69.7,3.7,0.0
20260419182630,0,0,1,0,4,12.3,61.3,14.3,0.0
20260419183000,0,0,1,0,4,2.7,76.7,4.3,0.0
20260419183030,0,0,1,0,4,6.0,73.0,10.0,0.0
20260419183500,0,0,1,0,4,4.0,73.7,6.7,0.0
20260419183530,0,0,1,0,4,4.7,73.0,5.3,0.0
20260419184200,0,0,1,0,4,5.7,73.7,9.0,0.0
20260419184230,0,0,1,0,4,5.0,70.7,6.7,0.0
20260419184600,0,0,1,0,4,3.0,67.7,4.7,0.0
20260419184630,0,0,1,0,4,5.3,67.0,8.7,0.0
20260419184900,0,0,1,0,4,4.0,73.0,6.3,0.0
20260419184930,0,0,1,0,4,5.7,67.7,9.0,0.0
