Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,6.0,80.0,6.3,0.0
20260419172130,0,0,1,0,4,9.7,80.7,11.3,0.0
20260419172600,0,0,1,0,4,7.0,79.3,5.7,0.0
20260419172630,0,0,1,0,4,5.3,83.0,5.3,0.0
20260419173000,0,0,1,0,4,9.7,96.0,6.7,0.0
20260419173030,0,0,1,0,4,6.0,92.0,5.7,0.0
20260419173600,0,0,1,0,4,6.7,75.0,6.0,0.0
20260419173630,0,0,1,0,4,10.7,79.0,6.7,0.0
20260419174100,0,0,1,0,4,9.7,70.0,5.3,0.0
20260419174130,0,0,1,0,4,5.0,84.7,5.0,0.0
20260419174600,0,0,1,0,4,7.7,81.0,5.7,0.0
20260419174630,0,0,1,0,4,7.7,82.0,6.3,0.0
20260419175200,0,0,1,0,4,3.3,74.3,3.7,0.0
20260419175230,0,0,1,0,4,6.7,81.0,5.7,0.0
20260419175600,0,0,1,0,4,7.0,84.3,4.7,0.0
20260419175630,0,0,1,0,4,4.7,74.0,4.3,0.0
20260419180200,0,0,1,0,4,7.7,81.3,6.7,0.0
20260419180230,0,0,1,0,4,6.0,79.7,5.3,0.0
20260419180600,0,0,1,0,4,6.3,99.3,5.0,0.0
20260419180630,0,0,1,0,4,6.7,89.3,5.3,0.0
20260419181200,0,0,1,0,4,6.3,73.7,5.3,0.0
20260419181230,0,0,1,0,4,7.7,76.3,7.0,0.0
20260419181500,0,0,1,0,4,8.3,77.3,6.3,0.0
20260419181530,0,0,1,0,4,5.7,77.7,5.0,0.0
20260419182100,0,0,1,0,4,7.3,79.3,5.0,0.0
20260419182130,0,0,1,0,4,6.3,73.0,5.3,0.0
20260419182600,0,0,1,0,4,8.3,78.0,6.7,0.0
20260419182630,0,0,1,0,4,5.0,91.3,5.7,0.0
20260419183000,0,0,1,0,4,2.7,86.3,3.0,0.0
20260419183030,0,0,1,0,4,5.0,82.3,5.0,0.0
20260419183500,0,0,1,0,4,6.3,88.0,4.3,0.0
20260419183530,0,0,1,0,4,5.7,87.7,5.7,0.0
20260419184200,0,0,1,0,4,6.7,93.3,6.7,0.0
20260419184230,0,0,1,0,4,7.0,79.7,7.0,0.0
20260419184600,0,0,1,0,4,6.0,113.0,6.3,0.0
20260419184630,0,0,1,0,4,3.0,91.7,3.0,0.0
20260419184900,0,0,1,0,4,5.3,75.7,5.7,0.0
20260419184930,0,0,1,0,4,4.3,75.7,5.0,0.0
